Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
,,,,,,,,755,844.0,0
,,,,,,,,756,854.0,0
,,,,,,,,757,849.0,0
,,,,,,,,758,864.0,0
,,,,,,,,759,1025.0,0
,,,,,,,,760,1083.0,0
,,,,,,,,761,1210.0,0
,,,,,,,,762,1353.0,0
,,,,,,,,763,1424.0,0
,,,,,,,,764,1434.0,0
,,,,,,,,765,1461.0,0
,,,,,,,,766,1384.0,0
,,,,,,,,767,1349.0,0
,,,,,,,,768,1262.0,0
,,,,,,,,769,1180.0,0
,,,,,,,,770,1100.0,0
,,,,,,,,771,1050.0,0
,,,,,,,,772,1029.0,0
,,,,,,,,773,1036.0,0
,,,,,,,,774,1044.0,0
,,,,,,,,775,992.0,0
,,,,,,,,776,892.0,0
,,,,,,,,777,793.0,0
,,,,,,,,778,614.0,0
,,,,,,,,779,730.0,0
,,,,,,,,780,678.0,0
,,,,,,,,781,650.0,0
,,,,,,,,782,760.0,0
,,,,,,,,783,777.0,0
,,,,,,,,784,889.0,0
,,,,,,,,785,1098.0,0
,,,,,,,,786,1293.0,0
,,,,,,,,787,1374.0,0
,,,,,,,,788,1417.0,0
,,,,,,,,789,1409.0,0
,,,,,,,,790,1312.0,0
,,,,,,,,791,1233.0,0
,,,,,,,,792,1236.0,0
,,,,,,,,793,1158.0,0
,,,,,,,,794,1081.0,0
,,,,,,,,795,1030.0,0
,,,,,,,,796,1006.0,0
,,,,,,,,797,1005.0,0
,,,,,,,,798,995.0,0
