Resource,NQC_derate
Northern_California_Li_Battery_8hr_73_Generic,0.0
Northern_California_Li_Battery_8hr_76,0.0
Northern_California_Li_Battery_8hr_76_Generic,0.0
Northern_California_Li_Battery_8hr_80,0.0
Northern_California_Li_Battery_8hr_80_Generic,0.0
Northern_California_Li_Battery_8hr_82,0.0
Northern_California_Li_Battery_8hr_82_Generic,0.0
Northern_California_Li_Battery_8hr_83,0.0
Northern_California_Li_Battery_8hr_83_Generic,0.0
Northern_California_Li_Battery_8hr_84,0.0
Northern_California_Li_Battery_8hr_84_Generic,0.0
Northern_California_Li_Battery_8hr_85,0.0
Northern_California_Li_Battery_8hr_85_Generic,0.0
Northern_California_Li_Battery_8hr_92,0.0
Northern_California_Li_Battery_8hr_92_Generic,0.0
Northern_California_Li_Battery_8hr_94,0.0
Northern_California_Li_Battery_8hr_94_Generic,0.0
Northern_California_Li_Battery_8hr_96,0.0
Northern_California_Li_Battery_8hr_96_Generic,0.0
Northern_California_Pumped_Storage_5,0.0
Northern_California_Pumped_Storage_5_Generic,0.0
Northern_California_Solar_100,0.0
Northern_California_Solar_100_Generic,0.0
Northern_California_Solar_112,0.0
Northern_California_Solar_112_Generic,0.0
Northern_California_Solar_113,0.0
Northern_California_Solar_113_Generic,0.0
Northern_California_Solar_114,0.0
Northern_California_Solar_114_Generic,0.0
Northern_California_Solar_116,0.0
Northern_California_Solar_116_Generic,0.0
Northern_California_Solar_121,0.0
Northern_California_Solar_121_Generic,0.0
Northern_California_Solar_122,0.0
Northern_California_Solar_122_Generic,0.0
Northern_California_Solar_126,0.0
Northern_California_Solar_126_Generic,0.0
Northern_California_Solar_127,0.0
Northern_California_Solar_127_Generic,0.0
Northern_California_Solar_130,0.0
Northern_California_Solar_130_Generic,0.0
Northern_California_Solar_132,0.0
Northern_California_Solar_132_Generic,0.0
Northern_California_Solar_135,0.0
Northern_California_Solar_135_Generic,0.0
Northern_California_Solar_138,0.0
Northern_California_Solar_138_Generic,0.0
Northern_California_Solar_141,0.0
Northern_California_Solar_141_Generic,0.0
Northern_California_Solar_144,0.0
Northern_California_Solar_144_Generic,0.0
Northern_California_Solar_149,0.0
Northern_California_Solar_149_Generic,0.0
Northern_California_Solar_150,0.0
Northern_California_Solar_150_Generic,0.0
Northern_California_Solar_155,0.0
Northern_California_Solar_155_Generic,0.0
Northern_California_Solar_157,0.0
Northern_California_Solar_157_Generic,0.0
Northern_California_Solar_158,0.0
Northern_California_Solar_158_Generic,0.0
Northern_California_Solar_159,0.0
Northern_California_Solar_159_Generic,0.0
Northern_California_Solar_166,0.0
Northern_California_Solar_166_Generic,0.0
Northern_California_Solar_172,0.0
Northern_California_Solar_172_Generic,0.0
Northern_California_Solar_178,0.0
Northern_California_Solar_178_Generic,0.0
Northern_California_Solar_179,0.0
Northern_California_Solar_179_Generic,0.0
Northern_California_Solar_180,0.0
Northern_California_Solar_180_Generic,0.0
Northern_California_Solar_25,0.0
Northern_California_Solar_25_Generic,0.0
Northern_California_Solar_26,0.0
Northern_California_Solar_26_Generic,0.0
Northern_California_Solar_29,0.0
Northern_California_Solar_29_Generic,0.0
Northern_California_Solar_31,0.0
Northern_California_Solar_31_Generic,0.0
Northern_California_Solar_35,0.0
Northern_California_Solar_35_Generic,0.0
Northern_California_Solar_38,0.0
Northern_California_Solar_38_Generic,0.0
Northern_California_Solar_41,0.0
Northern_California_Solar_41_Generic,0.0
Northern_California_Solar_44,0.0
Northern_California_Solar_44_Generic,0.0
Northern_California_Solar_5,0.0
Northern_California_Solar_51,0.0
Northern_California_Solar_51_Generic,0.0
Northern_California_Solar_57,0.0
Northern_California_Solar_57_Generic,0.0
