Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,169,14267.0,15425.0,20933.0,12223.0,4364.0,23078.0,10677.0
,,,,,,,,170,15301.0,16041.0,21769.0,12306.0,4563.0,24263.0,10946.0
,,,,,,,,171,16373.0,17000.0,23071.0,12621.0,4821.0,25157.0,11683.0
,,,,,,,,172,17645.0,18248.0,24764.0,13031.0,5068.0,26008.0,12601.0
,,,,,,,,173,18979.0,19527.0,26500.0,13502.0,5254.0,26912.0,13464.0
,,,,,,,,174,20209.0,20753.0,28164.0,13800.0,5380.0,27753.0,14275.0
,,,,,,,,175,21208.0,21601.0,29316.0,14068.0,5474.0,28275.0,14928.0
,,,,,,,,176,21962.0,22245.0,30187.0,14246.0,5533.0,28428.0,15493.0
,,,,,,,,177,22442.0,23041.0,31267.0,14542.0,5557.0,28311.0,15984.0
,,,,,,,,178,22826.0,23603.0,32031.0,14734.0,5509.0,28092.0,16337.0
,,,,,,,,179,22917.0,24015.0,32591.0,14736.0,5394.0,27951.0,16598.0
,,,,,,,,180,22693.0,24220.0,32870.0,14620.0,5313.0,27780.0,16590.0
,,,,,,,,181,22180.0,23870.0,32393.0,14455.0,5184.0,27632.0,16526.0
,,,,,,,,182,21499.0,23237.0,31533.0,14318.0,5065.0,27468.0,16257.0
,,,,,,,,183,20812.0,22366.0,30352.0,14096.0,4836.0,27074.0,15760.0
,,,,,,,,184,19776.0,22016.0,29877.0,13742.0,4510.0,27020.0,15413.0
,,,,,,,,185,18356.0,21042.0,28556.0,13073.0,4263.0,26426.0,14763.0
,,,,,,,,186,16970.0,19349.0,26261.0,12565.0,4079.0,25348.0,13766.0
,,,,,,,,187,15897.0,17615.0,23905.0,12180.0,3954.0,23868.0,12411.0
,,,,,,,,188,15121.0,16337.0,22174.0,12315.0,3947.0,23203.0,12120.0
,,,,,,,,189,14545.0,15668.0,21262.0,12123.0,3948.0,22812.0,11493.0
,,,,,,,,190,14122.0,15060.0,20438.0,11895.0,3943.0,22540.0,11031.0
,,,,,,,,191,13892.0,14446.0,19605.0,11960.0,4046.0,22364.0,10813.0
,,,,,,,,192,13952.0,14582.0,19790.0,12193.0,4184.0,22834.0,10753.0
,,,,,,,,193,12134.0,14672.0,19910.0,13017.0,4183.0,24646.0,10504.0
,,,,,,,,194,12255.0,16074.0,21814.0,13269.0,4199.0,26532.0,11089.0
,,,,,,,,195,12083.0,16777.0,22768.0,13103.0,4170.0,27387.0,11343.0
,,,,,,,,196,11898.0,17058.0,23148.0,13117.0,4164.0,27378.0,11474.0
,,,,,,,,197,11831.0,17442.0,23668.0,12977.0,4059.0,27502.0,11410.0
,,,,,,,,198,11773.0,17656.0,23961.0,12757.0,4041.0,27300.0,11339.0
