Period_Index,Rep_Period,Rep_Period_Index
1371,2035,24
1372,844,6
1373,844,6
1374,764,5
1375,764,5
1376,764,5
1377,764,5
1378,764,5
1379,764,5
1380,764,5
1381,764,5
1382,764,5
1383,764,5
1384,764,5
1385,764,5
1386,764,5
1387,764,5
1388,764,5
1389,764,5
1390,764,5
1391,1039,8
1392,1039,8
1393,844,6
1394,1039,8
1395,1039,8
1396,1039,8
1397,764,5
1398,844,6
1399,764,5
1400,764,5
1401,764,5
1402,764,5
1403,764,5
1404,764,5
1405,1039,8
1406,1039,8
1407,844,6
1408,1039,8
1409,764,5
1410,764,5
1411,764,5
1412,764,5
1413,1039,8
1414,1039,8
1415,1039,8
1416,1039,8
1417,1039,8
1418,1039,8
1419,844,6
1420,844,6
1421,1039,8
1422,844,6
1423,844,6
1424,764,5
1425,764,5
1426,1039,8
1427,844,6
1428,1818,23
1429,1818,23
1430,1818,23
1431,1818,23
1432,1818,23
1433,1818,23
1434,1818,23
1435,1818,23
1436,1818,23
1437,1818,23
1438,1818,23
1439,1818,23
1440,1818,23
1441,1818,23
1442,1818,23
1443,1818,23
1444,1818,23
1445,1818,23
1446,1818,23
1447,1818,23
1448,1448,17
1449,1818,23
1450,1818,23
1451,1818,23
1452,1818,23
1453,1818,23
1454,1818,23
1455,1818,23
1456,1818,23
1457,1818,23
1458,1458,18
1459,1459,19
1460,1818,23
1461,764,5
1462,764,5
1463,764,5
1464,1464,20
1465,764,5
1466,764,5
1467,764,5
1468,764,5
1469,764,5
1470,764,5
1471,764,5
1472,1039,8
1473,1039,8
1474,1039,8
1475,764,5
1476,1039,8
1477,1039,8
1478,764,5
1479,844,6
1480,764,5
1481,764,5
1482,1039,8
1483,764,5
1484,764,5
1485,764,5
1486,764,5
1487,764,5
1488,764,5
1489,764,5
1490,764,5
1491,844,6
1492,1492,21
1493,1493,22
1494,764,5
1495,1039,8
1496,1039,8
1497,844,6
1498,1039,8
1499,844,6
1500,764,5
1501,764,5
1502,764,5
1503,1039,8
1504,1039,8
1505,1039,8
1506,1039,8
1507,844,6
1508,844,6
1509,844,6
1510,844,6
1511,844,6
1512,764,5
1513,1039,8
1514,1039,8
1515,844,6
1516,844,6
1517,844,6
1518,844,6
1519,1039,8
1520,1039,8
1521,1039,8
1522,844,6
1523,844,6
1524,764,5
1525,764,5
1526,844,6
1527,844,6
1528,1039,8
1529,1039,8
1530,764,5
1531,2035,24
1532,1039,8
1533,1039,8
1534,1039,8
1535,844,6
1536,844,6
1537,1039,8
1538,844,6
1539,844,6
1540,844,6
1541,844,6
1542,1039,8
1543,844,6
1544,844,6
1545,844,6
1546,1039,8
1547,844,6
1548,2035,24
1549,1039,8
1550,1039,8
1551,2035,24
1552,844,6
1553,844,6
1554,1039,8
1555,1039,8
1556,844,6
1557,844,6
1558,844,6
1559,844,6
1560,1039,8
1561,1039,8
1562,2035,24
1563,844,6
1564,844,6
1565,1039,8
1566,2035,24
1567,844,6
1568,844,6
1569,2035,24
1570,844,6
1571,844,6
1572,2035,24
1573,2035,24
1574,844,6
1575,844,6
1576,844,6
1577,2035,24
1578,844,6
1579,844,6
1580,844,6
1581,844,6
1582,2035,24
1583,2035,24
1584,2035,24
1585,2035,24
1586,2035,24
1587,844,6
1588,844,6
1589,844,6
1590,844,6
1591,2035,24
1592,2035,24
1593,2035,24
1594,844,6
1595,844,6
1596,844,6
1597,844,6
1598,844,6
1599,844,6
1600,2035,24
1601,2035,24
1602,2035,24
1603,844,6
1604,844,6
1605,1039,8
1606,844,6
1607,844,6
1608,844,6
1609,844,6
1610,844,6
1611,844,6
1612,844,6
1613,844,6
1614,2035,24
1615,2035,24
1616,2035,24
1617,844,6
1618,2035,24
1619,2035,24
1620,2035,24
1621,2035,24
1622,2035,24
1623,2035,24
1624,2035,24
1625,2035,24
1626,2035,24
1627,844,6
1628,2035,24
1629,844,6
1630,844,6
1631,2035,24
1632,2035,24
1633,2035,24
1634,844,6
1635,2035,24
1636,2035,24
1637,2035,24
1638,2035,24
1639,844,6
1640,844,6
1641,2035,24
1642,2035,24
1643,2035,24
1644,2035,24
1645,2035,24
1646,2035,24
1647,2035,24
1648,2035,24
1649,2035,24
1650,2035,24
1651,2035,24
1652,2035,24
1653,2035,24
1654,2035,24
1655,2035,24
1656,2035,24
1657,2035,24
1658,2035,24
1659,2035,24
1660,2035,24
1661,2035,24
1662,2035,24
1663,2035,24
1664,2035,24
1665,2035,24
1666,2035,24
1667,2035,24
1668,2035,24
1669,2035,24
1670,2035,24
1671,2035,24
1672,2035,24
1673,2035,24
1674,2035,24
1675,2035,24
1676,2035,24
1677,2035,24
